CustomerID,Gender,SeniorCitizen,Partner,Dependents,ChurnLabel,ChurnValue,ChurnScore,CLTV,ChurnReason,Country,State,City,ZipCode,Latitude,Longitude,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3668-QPYBK,Male,0,No,No,Yes,1,86,3239,Competitor made better offer,United States,California,Los Angeles,90003,33.964131,-118.272783,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15
9237-HQITU,Female,0,No,Yes,Yes,1,67,2701,Moved,United States,California,Los Angeles,90005,34.059281,-118.30742,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65
9305-CDSKC,Female,0,No,Yes,Yes,1,86,5372,Moved,United States,California,Los Angeles,90006,34.048013,-118.293953,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5
7892-POOKP,Female,0,Yes,Yes,Yes,1,84,5003,Moved,United States,California,Los Angeles,90010,34.062125,-118.315709,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05
0280-XJGEX,Male,0,No,Yes,Yes,1,89,5340,Competitor had better devices,United States,California,Los Angeles,90015,34.039224,-118.266293,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3
4190-MFLUW,Female,0,Yes,No,Yes,1,78,5925,Competitor offered higher download speeds,United States,California,Los Angeles,90020,34.066367,-118.309868,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35
8779-QRDMV,Male,1,No,No,Yes,1,100,5433,Competitor offered more data,United States,California,Los Angeles,90022,34.02381,-118.156582,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65
1066-JKSGK,Male,0,No,No,Yes,1,92,4832,Competitor made better offer,United States,California,Los Angeles,90024,34.066303,-118.435479,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15
6467-CHFZW,Male,0,Yes,Yes,Yes,1,77,5789,Competitor had better devices,United States,California,Los Angeles,90028,34.099869,-118.326843,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15
8665-UTDHZ,Male,0,Yes,No,Yes,1,97,2915,Competitor had better devices,United States,California,Los Angeles,90029,34.089953,-118.294824,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2
8773-HHUOZ,Female,0,No,No,Yes,1,74,3022,Competitor offered higher download speeds,United States,California,Los Angeles,90032,34.078821,-118.177576,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1
6047-YHPVI,Male,0,No,Yes,Yes,1,66,2454,Competitor offered higher download speeds,United States,California,Los Angeles,90039,34.110845,-118.259595,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9
5380-WJKOV,Male,0,No,Yes,Yes,1,65,2941,Competitor offered higher download speeds,United States,California,Los Angeles,90041,34.137412,-118.207607,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25
8168-UQWWF,Female,0,No,Yes,Yes,1,70,5674,Competitor offered more data,United States,California,Los Angeles,90042,34.11572,-118.192754,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4
7760-OYPDY,Female,0,No,Yes,Yes,1,90,5586,Competitor offered more data,United States,California,Los Angeles,90056,33.987945,-118.370442,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15
9420-LOJKX,Female,0,No,Yes,Yes,1,82,2966,Competitor offered more data,United States,California,Los Angeles,90061,33.92128,-118.274186,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4
7495-OOKFY,Female,1,Yes,Yes,Yes,1,69,5302,Competitor made better offer,United States,California,Los Angeles,90063,34.044271,-118.185237,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3
1658-BYGOY,Male,1,No,Yes,Yes,1,81,3179,Competitor made better offer,United States,California,Los Angeles,90065,34.108833,-118.229715,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55
5698-BQJOH,Female,0,No,Yes,Yes,1,96,5571,Price too high,United States,California,Beverly Hills,90211,34.063947,-118.383001,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25
5919-TMRGD,Female,0,No,Yes,Yes,1,87,2483,Product dissatisfaction,United States,California,Huntington Park,90255,33.97803,-118.217141,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35
9191-MYQKX,Female,0,Yes,Yes,Yes,1,70,3457,Service dissatisfaction,United States,California,Lynwood,90262,33.923573,-118.200669,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9
8637-XJIVR,Female,0,No,Yes,Yes,1,86,5806,Lack of self-service on Website,United States,California,Marina Del Rey,90292,33.977468,-118.445475,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35
0278-YXOOG,Male,0,No,No,Yes,1,66,2604,Network reliability,United States,California,Inglewood,90301,33.956445,-118.358634,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85
